'f9e00b9,HateFindingNames,13 seconds ago,Fixes'
'c583fc9,HateFindingNames,6 hours ago,final? :shrug:'
'42f05f8,HateFindingNames,6 hours ago,fixes; sollen werden werden müssen'
'e389d4f,HateFindingNames,8 hours ago,uffelmann update'
'6a4bec9,HateFindingNames,9 hours ago,fixes'
'd9e6f95,HateFindingNames,10 hours ago,Fixes'
'f400d8d,HateFindingNames,10 hours ago,uffelmann updates'
'1d505bd,HateFindingNames,2 days ago,Scenarios; more data'
'ce64f3a,HateFindingNames,2 days ago,latexindent; ltex language'
'3665513,HateFindingNames,2 days ago,Data update'
'a765d8c,HateFindingNames,2 days ago,Update; fixes'
'e921aa2,HateFindingNames,3 days ago,uffelmann update'
'0a78e3a,HateFindingNames,3 days ago,file removal; typo'
'afc42a7,HateFindingNames,3 days ago,uffelmann reshuffle; data; gs fix'
'a139768,HateFindingNames,4 days ago,ltw: unused tools, recipes removed'
'71cff8e,HateFindingNames,4 days ago,text update'
'717a033,HateFindingNames,4 days ago,eprice plot update'
'af26c81,HateFindingNames,4 days ago,Uffelmann'
'79500b8,HateFindingNames,5 days ago,risks update; statistiks'
'18365fd,HateFindingNames,10 days ago,Risk assessment hooraaay'
'a3e9a32,HateFindingNames,10 days ago,authors - mat. no. missing'
'194ce1c,HateFindingNames,10 days ago,locale bugfix'
'4c3fc50,HateFindingNames,10 days ago,Chap4 "Marktumgebung" rework'
'271d831,HateFindingNames,10 days ago,vscode workspace latex workshop settings'
'1c5845b,HateFindingNames,10 days ago,cleveref: en -> ger'
'139bc70,HateFindingNames,10 days ago,removed filed'
'a554271,HateFindingNames,11 days ago,gitignore'
'df18963,HateFindingNames,11 days ago,biofuel production chart update'
'90884c3,HateFindingNames,11 days ago,Switch to LaTeX; english -> german'
'13c2eaf,HateFindingNames,8 weeks ago,prod biofuel de and eu'
'79bd8ec,HateFindingNames,8 weeks ago,The Team'
'210203e,HateFindingNames,9 weeks ago,Market situation client side'
'3ec2425,HateFindingNames,9 weeks ago,Finance; EU-ETS develop'
'e5e40b3,HateFindingNames,9 weeks ago,The Project'
'95b639c,HateFindingNames,3 months ago,init'
